Row1 Row2 Row3 Row4 Row5 Row6 Row7 Row8 Row9 Row10 Row11 Row12 Row13 Row14 Row15 Row16 Row17 Row18 Row19 Row20 Row21 Row22 Row23 Row24 Row25 Row26 Row27 Row28 Row29 Row30 Row31 Row32 Row33 Row34 Row35 Row36 Row37 Row38 Row39 Row40 Row41 Row42 Row43 Row44 Row45 Row46 Row47 Row48 Row49 Row50 Row51 Row52 Row53 Row54 Row55 Row56 Row57 Row58 Row59 Row60 Row61 Row62 Row63 Row64
4307 -1999 9491 2054 -1999 8992 2517 -2000 5802 -1999 9087 2476 -1999 8806 7538 -2000 7350 -2000 8678 5544 -2000 8590 3837 -1999 7662 2382 7185 5786 -2000 8940 3979 -1999 8557 1764 -1999 8385 5704 8877 3011 -2000 7884 1653 -2000 9465 1004 9074 3214 -1999 9337 6274 -1999 8315 4248 7194 4742 -2000 8000 2653 -1999 8847 2765 -1999 7690 3732
5084 -1999 9491 2265 -1999 9903 2453 -2000 6316 -1999 8737 2661 -2000 8369 9649 -2000 7995 -2000 8882 3460 -1999 8637 1738 -1999 7053 2348 8641 4395 -2000 9925 3872 -2000 9465 2229 -1999 7908 5412 9702 5545 -2000 7588 1667 -2000 7768 936 8655 3208 -1999 9049 2148 -2000 8194 4703 8658 5730 -1999 6835 2591 -2000 8685 2549 -1999 8424 3680
5411 -1999 9403 2105 -2000 9701 3122 -2000 6648 -1999 9392 2333 -2000 8517 9649 -2000 7709 -2000 8991 2988 -1999 9315 2390 -2000 7470 2348 7741 4238 -2000 9421 3781 -1999 8399 2229 -1999 7703 5412 9442 2114 -2000 8810 3181 -2000 7892 954 8655 3208 -1999 8871 7005 -1999 7336 4724 8669 6413 -1999 7443 2843 -2000 8466 2459 -2000 8424 4194
5376 -2000 9217 2935 -2000 9954 2819 -1999 7386 -1999 9138 2333 -1999 9274 2131 -2000 6984 -2000 8583 3342 -2000 9420 5086 -2000 8566 2607 7881 4347 -1999 9912 4118 -2000 8079 1431 -1999 8161 5353 8292 2031 -2000 5740 2330 -2000 8131 956 8763 3082 -2000 9560 2386 -1999 7922 4599 8132 6351 -2000 8768 3032 -2000 9315 2449 -1999 7837 4537
8552 -1999 9658 2068 -1999 9339 2978 -1999 7358 -1999 9304 2384 -1999 9274 2560 -2000 5643 -2000 8612 2594 -1999 9855 3257 -1999 8535 2664 6942 4403 -1999 9687 4043 -2000 8161 1520 -2000 7837 5353 8292 2264 -2000 7037 2676 -2000 7629 934 8614 3241 -2000 8959 5889 -1999 7983 4539 8139 6432 -1999 8940 2981 -1999 8408 2337 -2000 6649 4054
4826 -1999 9398 2154 -1999 9734 2964 -1999 7358 -1999 9026 2384 -1999 9217 4282 -2000 3741 -2000 9518 2625 -1999 9480 1921 -1999 8456 2914 7450 5863 -1999 9074 4292 -2000 8607 1886 -2000 7837 5333 9586 2276 -2000 7564 2718 -2000 7701 961 8732 3056 -1999 9073 2613 -1999 8458 4175 9489 5755 -1999 9015 2806 -2000 8702 2693 -1999 6963 4127
4325 -1999 8977 2363 -2000 8954 2653 -2000 6541 -1999 9217 2354 -1999 9457 4282 -2000 3262 -2000 8075 3270 -1999 9439 2131 -2000 9461 2784 6300 5771 -1999 9308 4292 -2000 8869 2319 -2000 7402 5981 8068 2276 -2000 7940 1745 -2000 8106 965 9145 3471 -1999 8650 2545 -1999 8326 3714 9373 5779 -1999 9092 2756 -2000 8811 3361 -1999 7179 3723
4284 -1999 8977 2396 -2000 7680 2550 -2000 6624 -1999 9800 2570 -2000 9520 1762 -2000 3549 -2000 8000 5041 -2000 9531 2013 -1999 9658 2776 8414 5860 -1999 9141 4370 -1999 8758 2319 -2000 6927 6913 7434 2140 -2000 7830 1821 -2000 9585 929 9725 3148 -1999 8279 2416 -1999 8973 3986 9541 5129 -2000 8860 3433 -2000 9780 3315 -1999 7465 3649
4035 -1999 9047 2224 -1999 9364 2345 -2000 9233 -2000 9799 2513 -1999 9839 1665 -2000 7043 -2000 7452 5372 -2000 9516 2013 -2000 8007 2605 9431 5228 -1999 8978 7275 -2000 8783 2427 -1999 7262 7993 7960 2140 -2000 7862 1828 -2000 7646 891 8957 8389 -1999 8700 2620 -1999 8432 4724 9602 6570 -1999 8807 2756 -2000 8828 3315 -2000 7417 3480
4101 -1999 9193 2155 -2000 8967 2614 -2000 8854 -2000 9765 2660 -2000 9733 1665 -2000 7162 -2000 8819 4923 -2000 8760 1773 -1999 7849 3077 9356 5755 -1999 9119 7275 -1999 8809 1966 -2000 6324 6067 8455 3250 -2000 8563 3107 -2000 6963 913 9893 5827 -1999 9725 2750 -2000 8498 3612 9924 6293 -1999 8739 2581 -2000 8815 2771 -2000 7094 3634
4248 -2000 9454 2155 -1999 9888 2614 -2000 6879 -1999 9765 2378 -1999 8914 1706 -2000 7162 -1999 8891 5148 -2000 9633 1654 -1999 8445 2596 9414 7197 -1999 8932 7197 -2000 8374 2325 -2000 6960 5785 8517 2996 -2000 7940 1839 -2000 6481 872 9893 3652 -1999 9254 3620 -2000 8281 3395 8503 6431 -2000 8786 2461 -2000 9453 2771 -2000 7410 4144
